Contrato;AberturaDemanda;DocumentoSolicitacao;NumDocumento;PropostaComercial;DataPropostaComercial;PropostaRecebida;NumSolicitacao;Demanda;idTipoHora;TipoHora; QtdHoras ;PrecoHora;ValorTotal;AutorizadoExecucao;LocalAutorizacao;DataEntrega;HomologacaoSEI;Faturado;Agilis;ProcessoFaturamento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/06/2020;E-mail;;628718/20;10/07/2020;SEI;5140.01.0002745/2020-75;Correção da pesquisa avançada - consulta de Compras e Contratos;2;Elaboração;5; 184,00 ; 920,00 ;15/07/2020;5140.01.0002745/2020-75;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/06/2020;E-mail;;628718/20;10/07/2020;SEI;5140.01.0002745/2020-75;Correção da pesquisa avançada - consulta de Compras e Contratos;3;Construção - Codificação;9; 94,00 ; 846,00 ;15/07/2020;5140.01.0002745/2020-75;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/06/2020;E-mail;;628718/20;10/07/2020;SEI;5140.01.0002745/2020-75;Correção da pesquisa avançada - consulta de Compras e Contratos;4;Construção - Teste;-;-;-;15/07/2020;5140.01.0002745/2020-75;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/06/2020;E-mail;;628718/20;10/07/2020;SEI;5140.01.0002745/2020-75;Correção da pesquisa avançada - consulta de Compras e Contratos;5;Transição;1; 184,00 ; 184,00 ;15/07/2020;5140.01.0002745/2020-75;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/06/2020;E-mail;;628718/20;10/07/2020;SEI;5140.01.0002745/2020-75;Correção da pesquisa avançada - consulta de Compras e Contratos;6;Gerenciamento de Projeto;-;-;-;15/07/2020;5140.01.0002745/2020-75;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;21/09/2020;SEI;1520.01.0008721/2020-71;629499/20;16/10/2020;SEI;5140.01.0003846/2020-30;Descaracterização CPF (Concursos, Despesa, Restos a pagar, Diárias, Viagens);1;Concepção;2; 248,00 ; 496,00 ;04/11/2020;5140.01.0003846/2020-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;21/09/2020;SEI;1520.01.0008721/2020-71;629499/20;16/10/2020;SEI;5140.01.0003846/2020-30;Descaracterização CPF (Concursos, Despesa, Restos a pagar, Diárias, Viagens);2;Elaboração;48; 184,00 ; 8.832,00 ;04/11/2020;5140.01.0003846/2020-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;21/09/2020;SEI;1520.01.0008721/2020-71;629499/20;16/10/2020;SEI;5140.01.0003846/2020-30;Descaracterização CPF (Concursos, Despesa, Restos a pagar, Diárias, Viagens);3;Construção - Codificação;77; 94,00 ; 7.238,00 ;04/11/2020;5140.01.0003846/2020-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;21/09/2020;SEI;1520.01.0008721/2020-71;629499/20;16/10/2020;SEI;5140.01.0003846/2020-30;Descaracterização CPF (Concursos, Despesa, Restos a pagar, Diárias, Viagens);4;Construção - Teste;17; 94,00 ; 1.598,00 ;04/11/2020;5140.01.0003846/2020-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;21/09/2020;SEI;1520.01.0008721/2020-71;629499/20;16/10/2020;SEI;5140.01.0003846/2020-30;Descaracterização CPF (Concursos, Despesa, Restos a pagar, Diárias, Viagens);5;Transição;9; 184,00 ; 1.656,00 ;04/11/2020;5140.01.0003846/2020-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;21/09/2020;SEI;1520.01.0008721/2020-71;629499/20;16/10/2020;SEI;5140.01.0003846/2020-30;Descaracterização CPF (Concursos, Despesa, Restos a pagar, Diárias, Viagens);6;Gerenciamento de Projeto;11; 246,00 ; 2.706,00 ;04/11/2020;5140.01.0003846/2020-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;29/10/2020;E-mail;;629844/20;04/11/2020;SEI;5140.01.0003846/2020-30;Descaracterização CPF (Compras, Patrimônio, Frota);1;Concepção;1; 248,00 ; 248,00 ;04/11/2020;5140.01.0003846/2020-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;29/10/2020;E-mail;;629844/20;04/11/2020;SEI;5140.01.0003846/2020-30;Descaracterização CPF (Compras, Patrimônio, Frota);2;Elaboração;13; 184,00 ; 2.392,00 ;04/11/2020;5140.01.0003846/2020-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;29/10/2020;E-mail;;629844/20;04/11/2020;SEI;5140.01.0003846/2020-30;Descaracterização CPF (Compras, Patrimônio, Frota);;Construção - Arquitetura;1; 184,00 ; 184,00 ;04/11/2020;5140.01.0003846/2020-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;29/10/2020;E-mail;;629844/20;04/11/2020;SEI;5140.01.0003846/2020-30;Descaracterização CPF (Compras, Patrimônio, Frota);3;Construção - Codificação;22; 94,00 ; 2.068,00 ;04/11/2020;5140.01.0003846/2020-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;29/10/2020;E-mail;;629844/20;04/11/2020;SEI;5140.01.0003846/2020-30;Descaracterização CPF (Compras, Patrimônio, Frota);4;Construção - Teste;5; 94,00 ; 470,00 ;04/11/2020;5140.01.0003846/2020-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;29/10/2020;E-mail;;629844/20;04/11/2020;SEI;5140.01.0003846/2020-30;Descaracterização CPF (Compras, Patrimônio, Frota);5;Transição;2; 184,00 ; 368,00 ;04/11/2020;5140.01.0003846/2020-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;29/10/2020;E-mail;;629844/20;04/11/2020;SEI;5140.01.0003846/2020-30;Descaracterização CPF (Compras, Patrimônio, Frota);6;Gerenciamento de Projeto;4; 246,00 ; 984,00 ;04/11/2020;5140.01.0003846/2020-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
