id_demanda;demanda;id_tipo_hora;tipo_hora;qtd_horas;preco_hora;valor_total
13;Descaracterização CPF (Concursos, Despesa, Restos a pagar, Diárias, Viagens);6;Transição;9;184;1.656,00
13;Descaracterização CPF (Concursos, Despesa, Restos a pagar, Diárias, Viagens);7;Gerenciamento de Projeto;11;246;2.706,00
14;Descaracterização CPF (Compras, Patrimônio, Frota);1;Concepção;1;248;248
14;Descaracterização CPF (Compras, Patrimônio, Frota);2;Elaboração;13;184;2.392,00
14;Descaracterização CPF (Compras, Patrimônio, Frota);3;Construção - Arquitetura;1;184;184
14;Descaracterização CPF (Compras, Patrimônio, Frota);4;Construção - Codificação;22;94;2.068,00
14;Descaracterização CPF (Compras, Patrimônio, Frota);5;Construção - Teste;5;94;470
14;Descaracterização CPF (Compras, Patrimônio, Frota);6;Transição;2;184;368
14;Descaracterização CPF (Compras, Patrimônio, Frota);7;Gerenciamento de Projeto;4;246;984
15;Divulgação jetons CODEMGE e EMC;4;Construção - Codificação;40;94;3.760,00
16;Condução de análise de impacto nas fontes de dados e elaboração da documentação do mapeamento de-para do mapa de carga para as seguintes (23) consultas em virtude da implantação do GRP;1;Concepção;25,4;248;6299,2
16;Condução de análise de impacto nas fontes de dados e elaboração da documentação do mapeamento de-para do mapa de carga para as seguintes (23) consultas em virtude da implantação do GRP;7;Gerenciamento de Projeto;18,6;246;4575,6
17;"Início do projeto de transição (demanda limia-se a apenas as alterações nos mapas/fluxos de carga) das consultas Despesa / Diárias / Despesas com Pessoal / Dívida Pública
Restos a Pagar";1;Concepção;0;248;0
17;"Início do projeto de transição (demanda limia-se a apenas as alterações nos mapas/fluxos de carga) das consultas Despesa / Diárias / Despesas com Pessoal / Dívida Pública
Restos a Pagar";2;Elaboração;32;184;5.888,00
17;"Início do projeto de transição (demanda limia-se a apenas as alterações nos mapas/fluxos de carga) das consultas Despesa / Diárias / Despesas com Pessoal / Dívida Pública
Restos a Pagar";3;Construção - Arquitetura;2;184;368
17;"Início do projeto de transição (demanda limia-se a apenas as alterações nos mapas/fluxos de carga) das consultas Despesa / Diárias / Despesas com Pessoal / Dívida Pública
Restos a Pagar";4;Construção - Codificação;48;94;4.512,00
17;"Início do projeto de transição (demanda limia-se a apenas as alterações nos mapas/fluxos de carga) das consultas Despesa / Diárias / Despesas com Pessoal / Dívida Pública
Restos a Pagar";5;Construção - Teste;10;94;940
17;"Início do projeto de transição (demanda limia-se a apenas as alterações nos mapas/fluxos de carga) das consultas Despesa / Diárias / Despesas com Pessoal / Dívida Pública
Restos a Pagar";6;Transição;5;184;920
17;"Início do projeto de transição (demanda limia-se a apenas as alterações nos mapas/fluxos de carga) das consultas Despesa / Diárias / Despesas com Pessoal / Dívida Pública
Restos a Pagar";7;Gerenciamento de Projeto;9;246;2.214,00
18;Anonimização de dados pessoais a partir  de combinações;1;Concepção;0;248;0
18;Anonimização de dados pessoais a partir  de combinações;2;Elaboração;4,5;184;828
18;Anonimização de dados pessoais a partir  de combinações;3;Construção - Arquitetura;0;184;0
18;Anonimização de dados pessoais a partir  de combinações;4;Construção - Codificação;9;94;846
18;Anonimização de dados pessoais a partir  de combinações;5;Construção - Teste;1,5;94;141
18;Anonimização de dados pessoais a partir  de combinações;6;Transição;1;184;184
18;Anonimização de dados pessoais a partir  de combinações;7;Gerenciamento de Projeto;0;246;0
19;Inclusão do campo Unidade de Programação de Gasto;1;Concepção;0;248;0
19;Inclusão do campo Unidade de Programação de Gasto;2;Elaboração;1,5;184;276
19;Inclusão do campo Unidade de Programação de Gasto;3;Construção - Arquitetura;0;184;0
19;Inclusão do campo Unidade de Programação de Gasto;4;Construção - Codificação;1;94;94
19;Inclusão do campo Unidade de Programação de Gasto;5;Construção - Teste;0,5;94;47
19;Inclusão do campo Unidade de Programação de Gasto;6;Transição;1;184;184
19;Inclusão do campo Unidade de Programação de Gasto;7;Gerenciamento de Projeto;0;246;0
